epoch,accuracy,loss,val_accuracy,val_loss
0,0.12302909046411514,3.525014638900757,0.14957265555858612,4.044631481170654
1,0.3896291255950928,2.2207932472229004,0.43822842836380005,1.958821177482605
2,0.5378636717796326,1.6039693355560303,0.5893551111221313,1.3486510515213013
3,0.6293582320213318,1.2654526233673096,0.6293706297874451,1.239723801612854
4,0.6707750558853149,1.0846291780471802,0.6763792037963867,1.0974371433258057
5,0.7300688624382019,0.9138906598091125,0.7342657446861267,0.8789511322975159
6,0.7486120462417603,0.8280031681060791,0.6787101626396179,1.1522103548049927
7,0.7753719687461853,0.7468414902687073,0.7031856775283813,1.0160106420516968
8,0.7882522940635681,0.6863490343093872,0.7634032368659973,0.8317059278488159
9,0.8020208477973938,0.6543271541595459,0.7447552680969238,0.9280346632003784
10,0.8161225914955139,0.5903551578521729,0.809634804725647,0.6644144654273987
11,0.8255607485771179,0.5675433278083801,0.7634032368659973,0.8223876953125
12,0.8358871936798096,0.5331556797027588,0.7171717286109924,1.0816290378570557
13,0.8449922204017639,0.48770660161972046,0.7902097702026367,0.7320025563240051
14,0.8499888777732849,0.48561808466911316,0.7808857560157776,0.787105917930603
15,0.8518764972686768,0.4529080092906952,0.7785547971725464,0.8467533588409424
